Change in area (10 km2),Change in length (m),Decimal Date,YYYY-MM-DD
0.0000,0.0000,2013.2409,2013-03-30
0.0170,36.7114,2013.2546,2013-04-04
-0.0004,-1.1724,2013.2683,2013-04-09
0.0284,60.0792,2013.3559,2013-05-11
0.0311,65.9632,2013.3696,2013-05-16
0.0255,53.9777,2013.3751,2013-05-18
0.0240,50.9193,2013.3943,2013-05-25
0.0184,38.8175,2013.3997,2013-05-27
0.0210,44.3519,2013.6379,2013-08-22
-0.0785,-168.4572,2014.1834,2014-03-09
-0.0855,-183.6620,2014.1889,2014-03-11
-0.1111,-241.3041,2014.2081,2014-03-18
-0.1266,-277.2831,2014.2327,2014-03-27
-0.1442,-317.1023,2014.2519,2014-04-03
-0.1721,-380.8970,2014.2710,2014-04-10
-0.1411,-312.7248,2014.2765,2014-04-12
-0.1685,-372.8635,2014.2957,2014-04-19
-0.1815,-402.2062,2014.3203,2014-04-28
-0.1986,-440.2904,2014.3340,2014-05-03
-0.2074,-459.7082,2014.3395,2014-05-05
-0.1880,-415.2471,2014.4572,2014-06-17
-0.0761,-174.3498,2014.4956,2014-07-01
-0.0980,-221.0541,2014.5010,2014-07-03
-0.1105,-248.4662,2014.5147,2014-07-08
-0.0970,-218.4555,2014.5202,2014-07-10
-0.1036,-233.0030,2014.5229,2014-07-11
0.0615,96.7107,2014.5969,2014-08-07
0.0739,123.3596,2014.7091,2014-09-17
0.1005,178.2201,2014.7529,2014-10-03
0.1693,319.7704,2014.8022,2014-10-21
0.1797,340.0850,2014.8214,2014-10-28
0.0242,0.7999,2015.1232,2015-02-15
0.0098,-29.9308,2015.1287,2015-02-17
-0.0098,-72.5709,2015.1478,2015-02-24
-0.0214,-98.4003,2015.1533,2015-02-26
0.0440,39.9694,2015.1916,2015-03-12
0.0124,-29.8913,2015.2108,2015-03-19
0.0103,-34.3875,2015.2355,2015-03-28
0.0037,-48.8861,2015.2409,2015-03-30
-0.0182,-97.3926,2015.2546,2015-04-04
-0.0263,-115.1781,2015.2601,2015-04-06
-0.0873,-248.1020,2015.2984,2015-04-20
-0.0962,-267.8666,2015.3039,2015-04-22
0.0032,-52.8409,2015.3285,2015-05-01
-0.0567,-182.2078,2015.3669,2015-05-15
-0.0670,-205.1176,2015.3860,2015-05-22
-0.0751,-222.9954,2015.3915,2015-05-24
-0.1011,-280.8329,2015.4107,2015-05-31
-0.1123,-305.9328,2015.4162,2015-06-02
-0.0010,-67.7087,2015.4298,2015-06-07
0.0037,-57.9769,2015.4600,2015-06-18
-0.0130,-93.3474,2015.4736,2015-06-23
-0.0123,-91.8627,2015.4791,2015-06-25
0.0026,-60.0072,2015.4983,2015-07-02
0.0216,-18.7531,2015.5038,2015-07-04
0.0136,-35.9681,2015.5175,2015-07-09
0.0090,-45.6558,2015.5229,2015-07-11
-0.0194,-107.3450,2015.5421,2015-07-18
-0.0266,-123.2364,2015.5476,2015-07-20
-0.0580,-188.4053,2015.5667,2015-07-27
-0.0771,-229.6361,2015.5914,2015-08-05
0.2114,340.7826,2015.6927,2015-09-11
0.1825,282.9785,2015.6982,2015-09-13
0.2216,359.9353,2015.7420,2015-09-29
0.2104,337.7169,2015.7611,2015-10-06
0.2018,320.5038,2015.7666,2015-10-08
0.1434,199.9509,2016.1369,2016-02-20
0.0892,85.2319,2016.1615,2016-02-29
0.0655,34.0962,2016.1807,2016-03-07
0.0335,-34.6220,2016.2190,2016-03-21
0.0281,-46.2499,2016.2245,2016-03-23
-0.0198,-151.9281,2016.2437,2016-03-30
-0.0118,-134.9487,2016.2628,2016-04-06
-0.0392,-193.9275,2016.2930,2016-04-17
0.0480,-10.1028,2016.3313,2016-05-01
0.0262,-57.0518,2016.3368,2016-05-03
-0.0087,-132.8169,2016.3504,2016-05-08
-0.0622,-250.6715,2016.3997,2016-05-26
-0.0871,-305.8192,2016.4079,2016-05-29
-0.0801,-290.2385,2016.4189,2016-06-02
-0.0388,-201.6368,2016.4298,2016-06-06
-0.0320,-186.2212,2016.4381,2016-06-09
-0.0417,-207.9206,2016.4435,2016-06-11
-0.0654,-259.3081,2016.4928,2016-06-29
-0.0884,-308.8337,2016.5065,2016-07-04
-0.0937,-320.2550,2016.5120,2016-07-06
-0.1035,-341.1378,2016.5175,2016-07-08
-0.1108,-356.9594,2016.5202,2016-07-09
0.1187,104.7940,2016.5257,2016-07-11
0.1067,80.4244,2016.5366,2016-07-15
0.1455,156.6168,2016.5558,2016-07-22
0.1959,257.6947,2016.5640,2016-07-25
0.1884,242.5893,2016.5695,2016-07-27
0.1857,237.1881,2016.5749,2016-07-29
0.1773,220.2197,2016.5804,2016-07-31
0.1782,222.0030,2016.5832,2016-08-01
0.2587,383.1098,2016.7009,2016-09-13
0.2729,409.6213,2016.8131,2016-10-24
0.1304,111.8112,2017.1232,2017-02-15
0.0924,31.5264,2017.1424,2017-02-22
0.1265,98.2781,2017.1807,2017-03-08
0.1261,97.5853,2017.2053,2017-03-17
0.0922,24.8444,2017.2245,2017-03-24
0.0915,23.3056,2017.2300,2017-03-26
0.0582,-47.9717,2017.2491,2017-04-02
0.0490,-67.8068,2017.2546,2017-04-04
0.1561,155.5653,2017.2738,2017-04-11
0.1377,117.4454,2017.2984,2017-04-20
0.1135,64.4635,2017.3860,2017-05-22
0.0520,-64.1340,2017.4244,2017-06-05
0.0396,-91.4442,2017.4298,2017-06-07
0.0227,-128.5366,2017.4490,2017-06-14
0.1202,69.4495,2017.5229,2017-07-11
0.1224,73.7871,2017.5366,2017-07-16
0.2367,291.2291,2017.6051,2017-08-10
0.0787,-36.4212,2017.7118,2017-09-18
0.1633,121.4157,2017.7995,2017-10-20
0.0010,-239.4535,2018.1697,2018-03-04
-0.0377,-322.5128,2018.1944,2018-03-13
-0.0623,-373.8415,2018.2190,2018-03-22
-0.1158,-489.4860,2018.2628,2018-04-07
-0.0925,-438.3301,2018.2765,2018-04-12
-0.1583,-582.7540,2018.2820,2018-04-14
-0.0905,-423.7654,2018.3258,2018-04-30
-0.1153,-479.9751,2018.3450,2018-05-07
-0.1243,-500.7317,2018.3504,2018-05-09
-0.1288,-517.3981,2018.3641,2018-05-14
0.0027,-283.4226,2018.4408,2018-06-11
-0.0818,-458.3051,2018.5065,2018-07-05
-0.0015,-283.0869,2018.6078,2018-08-11
0.0114,-257.1269,2018.6516,2018-08-27
-0.0059,-293.8927,2018.7009,2018-09-14
0.0841,-116.1881,2018.7146,2018-09-19
0.0715,-142.6974,2018.7392,2018-09-28
0.0016,-289.8196,2018.8022,2018-10-21
-0.0059,-305.9625,2018.8077,2018-10-23
-0.0179,-341.2928,2019.1150,2019-02-12
-0.0955,-504.9465,2019.1780,2019-03-07
-0.1116,-539.6887,2019.1834,2019-03-09
-0.1351,-589.8196,2019.2026,2019-03-16
-0.1384,-595.2258,2019.2218,2019-03-23
-0.1491,-622.6124,2019.2464,2019-04-01
-0.1809,-692.7703,2019.2656,2019-04-08
-0.1529,-632.9571,2019.2847,2019-04-15
-0.1104,-553.4847,2019.3587,2019-05-12
-0.1533,-647.1467,2019.3833,2019-05-21
-0.1489,-637.5956,2019.3860,2019-05-22
-0.1271,-589.7702,2019.4271,2019-06-06
-0.1474,-635.2478,2019.4408,2019-06-11
-0.0555,-433.4680,2019.4545,2019-06-16
-0.0886,-503.7525,2019.4846,2019-06-27
0.0019,-314.4082,2019.5038,2019-07-04
0.0012,-315.8306,2019.5092,2019-07-06
-0.0406,-403.4145,2019.5394,2019-07-17
0.0391,-242.2897,2019.5777,2019-07-31
-0.0085,-339.2292,2019.5914,2019-08-05
-0.0261,-376.0074,2019.6598,2019-08-30
0.0813,-163.3080,2019.8159,2019-10-26
0.0162,-320.2798,2020.1232,2020-02-15
-0.0105,-380.1328,2020.1424,2020-02-22
0.0824,-186.0462,2020.1615,2020-02-29
0.0717,-209.0917,2020.1670,2020-03-02
0.0483,-259.6541,2020.1862,2020-03-09
0.0422,-272.7605,2020.1916,2020-03-11
0.0206,-319.6319,2020.2053,2020-03-16
0.0128,-336.8457,2020.2108,2020-03-18
-0.0600,-500.6524,2020.2491,2020-04-01
-0.0329,-440.8729,2020.2546,2020-04-03
-0.0942,-576.2007,2020.2930,2020-04-17
0.0101,-364.7545,2020.3669,2020-05-14
-0.0222,-433.2531,2020.3860,2020-05-21
-0.1037,-610.6481,2020.4682,2020-06-20
-0.1229,-651.9761,2020.4736,2020-06-22
-0.1136,-631.3552,2020.4791,2020-06-24
0.0097,-371.4641,2020.5038,2020-07-03
-0.0062,-404.0339,2020.5175,2020-07-08
-0.0055,-402.6085,2020.5476,2020-07-19
-0.0152,-423.4811,2020.5503,2020-07-20
-0.0141,-421.6877,2020.5804,2020-07-31
-0.0531,-503.7048,2020.6297,2020-08-18
0.0407,-322.4829,2020.8241,2020-10-28
0.0194,-374.1935,2021.1287,2021-02-17
-0.0043,-425.9738,2021.1533,2021-02-26
-0.0615,-550.9184,2021.1916,2021-03-12
-0.1009,-639.3285,2021.2163,2021-03-21
-0.1276,-699.5088,2021.2355,2021-03-28
-0.0505,-540.6787,2021.3285,2021-05-01
-0.0702,-582.4960,2021.3422,2021-05-06
0.083945,135.993700,2014.774800,2014-10-11
0.169045,312.169500,2014.807700,2014-10-23
0.160645,294.701200,2014.840500,2014-11-04
0.114745,201.043900,2014.873400,2014-11-16
0.056245,75.609000,2014.906200,2014-11-28
0.155745,276.972900,2014.971900,2014-12-22
0.150845,266.505200,2015.005500,2015-01-03
0.098245,157.321000,2015.038300,2015-01-15
0.028545,2.789700,2015.104000,2015-02-08
-0.000355,-59.598700,2015.136900,2015-02-20
-0.032555,-129.498100,2015.169700,2015-03-04
0.029145,-0.449200,2015.202600,2015-03-16
-0.101455,-287.393700,2015.301200,2015-04-21
-0.009255,-86.724500,2015.334000,2015-05-03
-0.089755,-263.373700,2015.399700,2015-05-27
-0.053155,-185.250600,2015.564000,2015-07-26
0.218745,348.356300,2015.695400,2015-09-12
0.252845,414.068900,2015.728300,2015-09-24
0.181945,272.743300,2015.794000,2015-10-18
0.190345,289.377700,2016.090300,2016-02-03
0.153245,213.247600,2016.123200,2016-02-15
0.095445,91.186100,2016.156100,2016-02-27
0.060745,16.220300,2016.188900,2016-03-10
0.029145,-51.554800,2016.221800,2016-03-22
0.001945,-112.813200,2016.254600,2016-04-03
0.049745,-12.031200,2016.320300,2016-04-27
0.027045,-63.318600,2016.353200,2016-05-09
-0.044155,-218.204300,2016.386000,2016-05-21
-0.030555,-190.854500,2016.451700,2016-06-14
0.168145,195.793900,2016.550300,2016-07-20
0.307445,472.463100,2016.796700,2016-10-18
0.266245,389.351200,2016.829600,2016-10-30
0.209745,271.925400,2016.862400,2016-11-11
0.185545,222.188100,2016.878900,2016-11-17
0.164245,178.589800,2016.895300,2016-11-23
0.138345,125.608100,2016.911700,2016-11-29
0.300145,445.441000,2016.993800,2016-12-29
0.312845,469.870300,2017.008200,2017-01-04
0.287645,420.506600,2017.024600,2017-01-10
0.285445,416.294400,2017.041100,2017-01-16
0.256645,360.165500,2017.057500,2017-01-22
0.230145,308.192000,2017.073900,2017-01-28
0.201945,252.522700,2017.090300,2017-02-03
0.172445,191.386000,2017.106800,2017-02-09
0.117445,76.998900,2017.139600,2017-02-21
0.172245,188.277400,2017.156100,2017-02-27
0.145445,131.622100,2017.172500,2017-03-05
0.099545,33.109100,2017.221800,2017-03-23
0.078945,-11.035000,2017.238200,2017-03-29
0.154945,145.988100,2017.287500,2017-04-16
0.127145,88.645400,2017.303900,2017-04-22
0.099645,30.255200,2017.320300,2017-04-28
0.184545,205.794200,2017.336800,2017-05-04
0.132645,97.973300,2017.369600,2017-05-16
0.100445,29.243400,2017.402500,2017-05-28
0.091345,14.721800,2017.418900,2017-06-03
0.148945,122.133500,2017.550300,2017-07-21
0.281245,371.986800,2017.583200,2017-08-02
0.215945,243.093100,2017.632400,2017-08-20
0.174745,158.335400,2017.665300,2017-09-01
0.122745,50.020600,2017.698200,2017-09-13
0.251845,289.600200,2017.747400,2017-10-01
0.219045,226.370200,2017.763900,2017-10-07
0.174045,136.683800,2017.796700,2017-10-19
0.154745,96.382600,2017.813100,2017-10-25
0.131545,52.641600,2017.829600,2017-10-31
0.108145,5.517400,2017.846000,2017-11-06
0.088745,-33.230700,2017.862400,2017-11-12
0.078045,-54.926500,2017.878900,2017-11-18
0.065545,-81.726900,2017.895300,2017-11-24
0.040145,-135.599600,2017.911700,2017-11-30
0.066545,-77.415200,2017.928100,2017-12-06
0.042745,-129.710400,2017.944600,2017-12-12
0.029545,-158.796500,2017.961000,2017-12-18
0.017545,-185.103100,2017.977400,2017-12-24
-0.005055,-235.652700,2017.993800,2017-12-30
-0.025655,-281.134800,2018.011000,2018-01-05
-0.051455,-338.836600,2018.027400,2018-01-11
-0.076055,-393.654500,2018.043800,2018-01-17
-0.104555,-456.680100,2018.060200,2018-01-23
-0.092755,-430.833900,2018.076700,2018-01-29
0.088245,-64.345500,2018.109500,2018-02-10
0.047045,-149.124700,2018.142400,2018-02-22
0.026345,-192.900300,2018.158800,2018-02-28
-0.053555,-364.416200,2018.208100,2018-03-18
-0.066655,-390.368700,2018.224500,2018-03-24
-0.094055,-449.024700,2018.240900,2018-03-30
-0.124255,-515.527600,2018.273800,2018-04-11
-0.156055,-584.464600,2018.290200,2018-04-17
-0.096755,-446.020200,2018.323100,2018-04-29
-0.122555,-504.544400,2018.339500,2018-05-05
-0.134555,-531.260000,2018.355900,2018-05-11
-0.146555,-564.811100,2018.372300,2018-05-17
-0.176855,-632.918500,2018.405200,2018-05-29
0.006445,-283.237400,2018.454500,2018-06-16
-0.008855,-315.630400,2018.470900,2018-06-22
-0.070155,-440.998300,2018.520200,2018-07-10
-0.097355,-499.005900,2018.536600,2018-07-16
0.012645,-261.073100,2018.618800,2018-08-15
0.092645,-106.282300,2018.733700,2018-09-26
0.052345,-189.523600,2018.750200,2018-10-02
0.039545,-215.916500,2018.783000,2018-10-14
0.019145,-259.205300,2018.799500,2018-10-20
-0.008155,-318.091300,2018.815900,2018-10-26
-0.041055,-388.100100,2018.832300,2018-11-01
-0.057555,-423.135600,2018.848700,2018-11-07
-0.079055,-469.446000,2018.865200,2018-11-13
-0.104355,-521.563400,2018.881600,2018-11-19
-0.144055,-604.007900,2018.914400,2018-12-01
-0.083755,-474.615900,2018.930900,2018-12-07
-0.094755,-498.104400,2018.947300,2018-12-13
-0.019255,-337.076700,2018.963700,2018-12-19
-0.041655,-385.750700,2018.980200,2018-12-25
-0.097455,-508.102000,2019.013700,2019-01-06
-0.083455,-477.546700,2019.030100,2019-01-12
